Worker,Time,Mask,Real,Detected
A3J64XWXR1DB78,6,TRUE,Disgust,Anger
A2CKYCHQGXUI10,41,TRUE,Disgust,Fear
A31Z5TPD8QKE26,10,TRUE,Disgust,Anger
A122E99M2DQY1G,12,TRUE,Disgust,Disgust
A25DHXVNVC0VPW,7,TRUE,Disgust,Anger
A2KJ983WWTEK4L,16,TRUE,Disgust,Anger
AVPD36WUJKJFS,25,TRUE,Disgust,Anger
A1N9A4TGE3XK3V,17,TRUE,Disgust,Happiness
A3L3ZFL1NYFTCF,11,TRUE,Fear,Fear
A1IXVXZ5AYYNMJ,8,TRUE,Fear,Fear
A25DHXVNVC0VPW,9,TRUE,Fear,Fear
A171S8E9IFSHH2,39,TRUE,Fear,Neutral
A27VBVMMEX9GJB,17,TRUE,Fear,Fear
AYJGJAIY0EXW,29,TRUE,Fear,Fear
A12B5MV7IHN855,6,TRUE,Fear,Fear
A3J64XWXR1DB78,10,TRUE,Fear,Fear
A2KXARDIOGJL8T,21,TRUE,Fear,Fear
AM2W23THD4CI7,24,TRUE,Fear,Fear
A122E99M2DQY1G,18,TRUE,Fear,Fear
AM9XH69KBK5X5,26,TRUE,Fear,Fear
A28SFTKTGBSD9,11,TRUE,Fear,Fear
A36QYJDZBOQ5PQ,17,TRUE,Fear,Fear
AKSJ3C5O3V9RB,6,TRUE,Fear,Fear
A3EG4C9T4F5DUR,8,TRUE,Fear,Fear
A171VJ9J60DSJU,32,TRUE,Fear,Fear
A2BO8M77CS3SGZ,12,TRUE,Fear,Fear
A2CKYCHQGXUI10,41,TRUE,Fear,Anger
A3UIVQJXY62XU8,6,TRUE,Fear,Fear
AQ53YJDPDDLZ,14,TRUE,Fear,Fear
A1N9A4TGE3XK3V,33,TRUE,Fear,Fear
A3CJVRJ34U70Y9,26,TRUE,Fear,Fear
A1FPCIKO68OQ63,10,TRUE,Fear,Fear
A3B9OZQTE4US3T,12,TRUE,Fear,Fear
A1IU5OP7BBZHZ7,7,TRUE,Fear,Fear
AX8EX2QI5HIQQ,24,TRUE,Fear,Fear
A3GK90X2QOFR53,15,TRUE,Fear,Fear
A2RVSBEHUCNC6K,13,TRUE,Fear,Fear
A353KETOEN0W8T,31,TRUE,Fear,Fear
A36H3PO6JZD414,12,TRUE,Fear,Fear
A147F5PJTHOB8A,12,TRUE,Fear,Fear
A1Y0ABOUJUMCWW,15,TRUE,Fear,Fear
A3P7M9666KJCP,18,TRUE,Fear,Fear
AVPD36WUJKJFS,17,TRUE,Fear,Fear
A1E2Y158WG5FR6,10,TRUE,Fear,Fear
AHAF93PYUCVQ1,15,TRUE,Fear,Fear
A31Z5TPD8QKE26,18,TRUE,Fear,Fear
A2KJ983WWTEK4L,14,TRUE,Fear,Fear
A1NF6PELRKACS9,18,TRUE,Fear,Fear
A130P4M9JPT4YA,17,TRUE,Fear,Fear
A3O6XMWN8W84L5,13,TRUE,Fear,Fear
AWTP9JNX0WK2F,32,TRUE,Fear,Fear
A37DR4QS4A5W5W,11,TRUE,Fear,Fear
A3KU8DC7HJOGCM,21,TRUE,Fear,Anger
AX8EX2QI5HIQQ,11,TRUE,Happiness,Disgust
A2RVSBEHUCNC6K,20,TRUE,Happiness,Fear
A171VJ9J60DSJU,15,TRUE,Happiness,Happiness
A3L3ZFL1NYFTCF,14,TRUE,Happiness,Happiness
A37DR4QS4A5W5W,16,TRUE,Happiness,Happiness
A3P7M9666KJCP,27,TRUE,Happiness,Happiness
A2KJ983WWTEK4L,15,TRUE,Happiness,Happiness
AM9XH69KBK5X5,26,TRUE,Happiness,Happiness
AYJGJAIY0EXW,18,TRUE,Happiness,Happiness
A2F0X4LN9N4O4C,6,TRUE,Happiness,Happiness
A3CJVRJ34U70Y9,28,TRUE,Happiness,Happiness
AHAF93PYUCVQ1,13,TRUE,Happiness,Happiness
A1IU5OP7BBZHZ7,11,TRUE,Happiness,Happiness
A25DHXVNVC0VPW,16,TRUE,Happiness,Happiness
A3EG4C9T4F5DUR,25,TRUE,Happiness,Happiness
A353KETOEN0W8T,15,TRUE,Happiness,Happiness
A31Z5TPD8QKE26,15,TRUE,Happiness,Happiness
A1NKBXOTZAI1YK,6,TRUE,Happiness,Happiness
A147F5PJTHOB8A,11,TRUE,Happiness,Happiness
A1Y0ABOUJUMCWW,11,TRUE,Happiness,Happiness
A1N9A4TGE3XK3V,13,TRUE,Happiness,Happiness
A1E2Y158WG5FR6,6,TRUE,Happiness,Happiness
A27VBVMMEX9GJB,15,TRUE,Happiness,Disgust
A12B5MV7IHN855,5,TRUE,Happiness,Happiness
A1Y3PSVSU557SW,11,TRUE,Happiness,Happiness
A3O6XMWN8W84L5,19,TRUE,Happiness,Happiness
A3KU8DC7HJOGCM,25,TRUE,Happiness,Happiness
AM2W23THD4CI7,13,TRUE,Happiness,Happiness
A28SFTKTGBSD9,9,TRUE,Happiness,Happiness
A2CKYCHQGXUI10,23,TRUE,Happiness,Fear
A3J64XWXR1DB78,7,TRUE,Happiness,Happiness
A2BO8M77CS3SGZ,9,TRUE,Happiness,Happiness
A1NF6PELRKACS9,12,TRUE,Happiness,Happiness
A36QYJDZBOQ5PQ,15,TRUE,Happiness,Happiness
A122E99M2DQY1G,8,TRUE,Happiness,Happiness
A1IXVXZ5AYYNMJ,14,TRUE,Happiness,Happiness
A3GK90X2QOFR53,20,TRUE,Happiness,Happiness
AVPD36WUJKJFS,29,TRUE,Happiness,Happiness
A3B9OZQTE4US3T,12,TRUE,Happiness,Happiness
A36H3PO6JZD414,12,TRUE,Happiness,Happiness
A130P4M9JPT4YA,8,TRUE,Happiness,Happiness
A2KXARDIOGJL8T,15,TRUE,Happiness,Happiness
A219VCQZADQ45W,11,TRUE,Happiness,Happiness
A1FPCIKO68OQ63,12,TRUE,Happiness,Happiness
AWTP9JNX0WK2F,11,TRUE,Happiness,Happiness
A3B9OZQTE4US3T,19,TRUE,Neutral,Neutral
A1FPCIKO68OQ63,13,TRUE,Neutral,Neutral
AWTP9JNX0WK2F,18,TRUE,Neutral,Neutral
A25DHXVNVC0VPW,6,TRUE,Neutral,Neutral
A1NKBXOTZAI1YK,7,TRUE,Neutral,Neutral
A2KXARDIOGJL8T,15,TRUE,Neutral,Neutral
A37DR4QS4A5W5W,14,TRUE,Neutral,Neutral
A2BO8M77CS3SGZ,14,TRUE,Neutral,Sadness
AVPD36WUJKJFS,28,TRUE,Neutral,Neutral
A1Y0ABOUJUMCWW,17,TRUE,Neutral,Neutral
A1IU5OP7BBZHZ7,23,TRUE,Neutral,Sadness
